content,clean_tokens,stemmed,label
sangat memudahkan,"['sangat', 'memudahkan']",['mudah'],1
seru,['seru'],['seru'],1
oke,['oke'],['oke'],1
lebih gampamg pesan,"['lebih', 'gampamg', 'pesan']","['gampamg', 'pesan']",1
alhamdulillah sdh diuinstall. aplikasi gk berguna klo iklan ada gambarnya. film cuma item doang gk ada gbarnya,"['alhamdulillah', 'sdh', 'diuinstall', 'aplikasi', 'gk', 'berguna', 'klo', 'iklan', 'ada', 'gambarnya', 'film', 'cuma', 'item', 'doang', 'gk', 'ada', 'gbarnya']","['alhamdulillah', 'sdh', 'diuinstall', 'aplikasi', 'gk', 'guna', 'klo', 'iklan', 'gambar', 'film', 'item', 'doang', 'gk', 'gbarnya']",0
bagus,['bagus'],['bagus'],1
ok,['ok'],['ok'],1
memudahkan untuk mengatur waktu sebelum menonton ...,"['memudahkan', 'untuk', 'mengatur', 'waktu', 'sebelum', 'menonton']","['mudah', 'atur', 'waktu', 'tonton']",1
udah bisa,"['udah', 'bisa']",['udah'],1
update baru kenapa poster filmnya ga muncul aneh dah,"['update', 'baru', 'kenapa', 'poster', 'filmnya', 'ga', 'muncul', 'aneh', 'dah']","['update', 'poster', 'film', 'ga', 'muncul', 'aneh', 'dah']",0
nice,['nice'],['nice'],1
"saya ga tau kenapa mtix saya ga bisa nampilin gambar, padahal sebelumnya normal tapi ini udh beberapa Minggu terakhir cuman tulisan doang. kukira awalnya ngelag tapi pas mesen tiket ga ada kendala jadi bukan sinyal tapi aplikasinya ngebug","['saya', 'ga', 'tau', 'kenapa', 'mtix', 'saya', 'ga', 'bisa', 'nampilin', 'gambar', 'padahal', 'sebelumnya', 'normal', 'tapi', 'ini', 'udh', 'beberapa', 'minggu', 'terakhir', 'cuman', 'tulisan', 'doang', 'kukira', 'awalnya', 'ngelag', 'tapi', 'pas', 'mesen', 'tiket', 'ga', 'ada', 'kendala', 'jadi', 'bukan', 'sinyal', 'tapi', 'aplikasinya', 'ngebug']","['ga', 'tau', 'mtix', 'ga', 'nampilin', 'gambar', 'normal', 'udh', 'minggu', 'cuman', 'tulis', 'doang', 'kira', 'ngelag', 'pas', 'mesen', 'tiket', 'ga', 'kendala', 'sinyal', 'aplikasi', 'ngebug']",1
Malas Nunton TV HPD LL,"['malas', 'nunton', 'tv', 'hpd', 'll']","['malas', 'nunton', 'tv', 'hpd', 'll']",1
"operanti lambat seperti pencet tombol kursi lama baru muncul,intinya seperti jadul dan sering gangguan dalam oembayaran seperti bca dan untuk isi saldo tidak banyak pilihan","['operanti', 'lambat', 'seperti', 'pencet', 'tombol', 'kursi', 'lama', 'baru', 'muncul', 'intinya', 'seperti', 'jadul', 'dan', 'sering', 'gangguan', 'dalam', 'oembayaran', 'seperti', 'bca', 'dan', 'untuk', 'isi', 'saldo', 'tidak', 'banyak', 'pilihan']","['operanti', 'lambat', 'pencet', 'tombol', 'kursi', 'muncul', 'inti', 'jadul', 'ganggu', 'oembayaran', 'bca', 'isi', 'saldo', 'pilih']",0
bagus banget,"['bagus', 'banget']","['bagus', 'banget']",1
M.tix XXI MANTAAAAAAAAAPPPPPPPP!!!!!!!!!!!!!!!,"['m.tix', 'xxi', 'mantaaaaaaaaapppppppp']","['m tix', 'xxi', 'mantaaaaaaaaapppppppp']",1
Good Simple,"['good', 'simple']","['good', 'simple']",1
mantap,['mantap'],['mantap'],1
