content,score
sangat memudahkan,5
seru,4
oke,4
sangat baik,5
lebih gampamg pesan,5
alhamdulillah sdh diuinstall. aplikasi gk berguna klo iklan ada gambarnya. film cuma item doang gk ada gbarnya,1
bagus,5
ok,5
memudahkan untuk mengatur waktu sebelum menonton ...,5
udah bisa,5
update baru kenapa poster filmnya ga muncul aneh dah,1
nice,5
"saya ga tau kenapa mtix saya ga bisa nampilin gambar, padahal sebelumnya normal tapi ini udh beberapa Minggu terakhir cuman tulisan doang. kukira awalnya ngelag tapi pas mesen tiket ga ada kendala jadi bukan sinyal tapi aplikasinya ngebug",4
Malas Nunton TV HPD LL,5
"operanti lambat seperti pencet tombol kursi lama baru muncul,intinya seperti jadul dan sering gangguan dalam oembayaran seperti bca dan untuk isi saldo tidak banyak pilihan",2
bagus banget,5
loadingnya lama aplikasinya,3
M.tix XXI MANTAAAAAAAAAPPPPPPPP!!!!!!!!!!!!!!!,5
Good Simple,5
mantap,5
baik,5
alsut sdh tdk harum nih kurang fresh udaranya,5
aplikasi yang sekarang koq ngaco. Nggak muncul gambar dan video trailer apapun,4
good,5
"setelah lama ga make mtix ada beberapa perubahan yang bagus, seperti pergantian ui, makin banyaknya opsi transaksi pembayaran dll. tolong dong tambahkan opsi ganti nomer, karena itu penting",3
m.tix keren bgt,5
poster nya ilang mulu jadi bingung mo nonton apa,1
ok,5
aplikasi m-tix saya tiba2 gak bisa nonton cuplikan film nya padahal sebelumnya bisa ... lalu saya uninstall..dan saya install kembali..tapi tetep gak bisa di putar video nya ... gambar film2 nya pun tidak terlihat ...hanya kotak kosong saja ...knp ya? bingung,1
maju terus,5
keren,5
vey good,4
tp sayang gambar n video trailer film gak muncul,5
"poster film sering kali tidak muncul, kadang loading lama",4
kok sekarang ga ada gambarnya sih film apa sj yg tersedia. video trailernya jg ngga bs di tonton skrg,1
right choice,5
terbaik,5
"versi 9.1.0 ~ ada satu kekurangan, poster film ga ke load, jadi polos ga ada gambar",4
"Mempermudah banget buat pesen tiket, plus promo promo snack nya. 👍🏻",5
kren,5
"Udah ga bisa login lagi, login hanya bisa menggunakan nomor telpon dan tidak ada opsi lain lagi, klo nomor ilang/hangus akun nya juga ikut hilang",1
"Masih ada saldo kok bermasalah aplikasinya,mau book tiket nonton pilihan seat gak connect..hadeeh trus di display apsnya masa cover Movienya its not Shows, jd Blank item semua",1
👍👍,5
bagus bisa di percaya,5
terimakasih🙏,5
keren,5
simple make nya,5
"sangat membantu utk pesan online,hanya saat ini tidak bisa melihat tayangan film XXI",5
ok terbantu,5
mantap,5
sangat bagus,5
nice,5
"aplikasinya ada masalah atau gimana?signal saya bgs tpi filmnya ga ada gambar sma trailer, ribet sda bka m tix tpi ga ada gambar sama trailernya, jdi hrs cri di google lagi",1
